word,countrycode,year,month,day,hour,minute,second,recognized,c1,c2,c3,c4,c5,c6,c7,c8,c9
1,31,2017,03,13,00,53,40,1,0,3,4,42,53,47,0,8,0
1,235,2017,03,24,16,25,57,1,0,17,6,45,69,63,9,30,20
1,13,2017,03,06,22,56,44,1,10,35,0,52,52,46,0,44,8
1,156,2017,03,01,10,41,57,1,0,21,0,37,56,47,0,33,0
1,235,2017,03,27,17,54,36,1,2,13,2,43,55,38,6,13,0
1,234,2017,01,29,20,22,32,1,25,20,0,41,52,56,0,26,0
1,65,2017,01,25,19,49,28,1,0,11,8,38,54,55,0,16,0
1,233,2017,03,28,16,26,33,1,0,4,1,12,46,47,0,7,0
1,235,2017,01,31,02,33,36,1,0,14,0,41,63,44,0,7,9
1,156,2017,01,26,09,41,38,1,0,15,0,39,57,48,0,27,0
1,59,2017,03,03,18,30,37,1,19,43,0,41,66,47,0,46,0
1,31,2017,01,26,12,06,17,1,0,32,0,46,56,43,0,43,0
1,156,2017,01,24,20,00,40,1,6,27,13,38,36,59,28,41,9
1,235,2017,03,11,12,38,6,1,0,38,3,46,77,59,0,38,9
1,235,2017,03,29,02,37,40,1,0,31,14,41,47,45,0,35,27
1,235,2017,03,29,13,48,57,1,0,44,6,43,40,45,6,49,0
1,75,2017,03,06,21,48,31,1,0,0,13,20,33,52,29,33,27
1,143,2017,03,28,19,40,52,1,0,0,4,36,57,57,0,7,0
1,13,2017,03,16,01,12,32,1,16,10,5,43,56,39,0,16,0
1,174,2017,01,28,06,41,49,1,8,20,0,47,72,47,0,21,0
1,74,2017,03,17,10,58,41,1,11,0,0,37,58,47,0,19,0
1,194,2017,01,29,18,42,56,1,5,9,22,41,57,36,5,21,0
1,235,2017,03,08,22,39,59,1,0,0,30,39,52,44,7,26,34
1,235,2017,03,21,17,01,46,1,0,8,37,35,58,25,3,29,20
1,214,2017,03,01,22,34,11,1,6,0,0,61,72,45,0,17,3
1,39,2017,03,03,18,41,7,1,0,26,2,31,56,42,0,30,0
1,235,2017,03,01,14,40,3,1,0,0,22,43,59,62,0,26,4
1,13,2017,03,20,23,38,23,1,0,5,0,42,58,41,0,8,0
1,18,2017,03,10,03,21,47,0,6,11,8,61,75,61,23,10,1
1,156,2017,03,26,17,58,39,1,0,7,3,20,45,31,0,11,0
1,181,2017,03,10,19,31,22,1,0,28,0,46,46,44,0,31,0
1,109,2017,03,05,16,56,53,0,11,3,26,42,43,40,16,33,30
1,235,2017,01,25,19,00,21,1,16,0,0,34,60,43,20,26,9
1,214,2017,03,17,11,37,34,1,10,38,14,55,78,61,2,53,8
1,235,2017,03,17,02,34,9,1,0,41,0,31,38,31,13,44,16
1,182,2017,03,21,14,06,56,1,0,18,3,40,62,47,0,17,13
1,235,2017,03,06,18,57,23,0,0,17,3,42,54,67,12,24,4
1,235,2017,03,08,17,10,54,1,0,34,0,40,47,48,6,39,6
1,81,2017,03,11,13,02,0,1,7,20,0,33,64,41,0,30,0
1,235,2017,03,28,01,11,17,1,10,26,7,47,51,55,0,14,28
1,235,2017,03,11,13,56,29,1,0,6,0,48,64,36,0,10,0
1,235,2017,03,25,21,47,10,1,0,32,13,38,55,40,2,50,10
1,235,2017,01,27,12,03,55,1,0,26,0,48,69,49,0,33,0
1,235,2017,01,29,14,00,46,1,0,24,0,36,42,39,12,42,10
1,234,2017,03,12,15,56,51,1,0,13,0,37,54,45,0,20,0
1,233,2017,03,16,13,09,14,1,5,6,10,38,51,28,19,15,27
1,235,2017,03,04,03,05,22,1,0,0,7,47,60,61,18,17,9
1,102,2017,03,05,05,54,14,1,0,25,0,25,58,30,4,36,0
1,31,2017,01,30,19,46,33,1,0,16,3,41,66,42,0,17,0
1,234,2017,03,20,12,10,7,1,0,0,3,23,49,59,16,7,10
1,227,2017,01,30,06,00,17,1,18,2,0,52,47,39,16,43,9
1,235,2017,01,31,17,00,26,1,0,15,0,35,44,44,0,23,0
1,235,2017,01,25,17,35,10,1,7,0,0,53,48,54,0,2,21
1,235,2017,03,15,00,55,51,1,0,16,13,36,67,44,7,24,0
1,75,2017,03,01,20,08,24,1,5,29,7,40,62,39,0,34,23
1,31,2017,03,26,20,52,37,1,4,2,5,51,60,49,8,7,0
1,235,2017,03,19,21,56,30,1,0,1,29,23,65,55,34,20,8
1,235,2017,03,02,15,12,26,1,0,20,0,40,70,43,0,22,0
1,235,2017,01,30,22,11,8,1,0,10,0,43,68,44,0,14,0
1,194,2017,03,16,10,39,4,1,0,12,7,38,52,44,0,21,0
1,235,2017,03,03,02,31,3,1,0,10,5,46,43,45,2,28,9
1,235,2017,03,28,12,06,56,1,0,18,6,39,65,57,3,25,3
1,59,2017,03,23,12,35,21,1,0,16,3,37,54,54,0,27,0
1,109,2017,03,06,20,26,33,1,4,0,5,50,58,49,7,11,16
1,74,2017,01,26,15,03,21,1,2,29,0,55,53,45,11,39,0
1,214,2017,03,16,12,57,32,1,0,5,0,44,61,55,0,10,5
1,234,2017,03,09,09,18,43,0,0,0,0,42,65,43,2,1,0
1,75,2017,03,09,07,41,35,1,7,26,0,50,34,22,10,29,0
1,59,2017,03,25,09,39,37,1,39,32,36,42,58,40,2,38,5
1,234,2017,03,18,23,17,24,1,0,10,0,45,56,46,3,13,0
1,39,2017,03,16,00,40,45,1,0,0,13,36,67,47,0,26,0
1,235,2017,03,28,21,55,58,1,24,24,0,41,39,51,11,30,19
1,235,2017,03,13,03,03,17,1,8,25,5,38,73,64,0,25,0
1,232,2017,03,18,15,02,16,1,3,0,0,52,41,39,9,4,0
1,234,2017,03,19,10,18,0,1,0,34,0,24,49,32,19,45,14
1,235,2017,03,24,13,02,7,1,0,14,0,40,66,38,0,20,0
1,235,2017,03,29,19,08,22,1,0,24,3,39,39,44,4,37,6
1,234,2017,03,13,07,52,25,1,0,20,11,37,68,48,0,10,14
1,182,2017,03,15,11,09,39,1,0,21,0,46,60,43,0,23,0
1,111,2017,01,31,12,18,19,1,8,12,3,42,69,61,7,18,18
1,234,2017,03,19,19,03,36,1,0,30,5,39,24,43,11,23,28
1,209,2017,03,26,18,18,17,1,4,29,0,33,63,46,25,39,19
1,235,2017,03,07,12,37,29,1,0,15,0,39,57,44,13,17,0
1,235,2017,03,02,16,54,17,1,0,22,0,45,52,49,0,30,0
1,100,2017,03,06,12,25,28,1,1,24,0,40,56,52,7,23,3
1,235,2017,03,16,00,29,42,1,0,25,27,42,57,51,1,22,0
1,75,2017,03,26,13,38,39,1,9,1,27,42,53,54,28,16,0
1,82,2017,03,03,07,41,23,1,0,3,28,29,57,50,7,20,35
1,235,2017,03,08,21,02,40,0,2,14,0,59,62,36,19,27,20
1,234,2017,03,11,16,53,29,1,6,27,0,37,58,50,7,41,1
1,235,2017,03,16,22,01,38,1,0,11,0,28,62,50,0,17,0
1,182,2017,03,06,13,17,55,1,0,22,12,37,66,45,0,34,2
1,21,2017,01,28,15,27,8,1,0,13,0,33,59,43,0,17,0
1,109,2017,03,06,17,22,3,1,1,14,13,51,48,49,5,13,7
1,177,2017,03,12,10,58,39,1,6,0,0,42,64,54,4,12,0
1,18,2017,03,21,16,44,42,1,0,15,0,51,69,48,4,21,0
1,109,2017,03,01,17,00,26,1,0,0,21,46,50,51,5,24,33
1,118,2017,03,19,07,13,22,1,0,22,32,35,66,58,7,25,0
1,118,2017,03,24,23,44,6,1,0,7,0,34,50,53,5,11,3
1,235,2017,03,15,17,29,57,1,24,12,28,44,54,42,22,30,0
1,128,2017,03,22,10,11,57,1,0,24,1,40,58,59,7,32,0
1,84,2017,03,26,21,35,31,1,0,7,8,41,58,54,3,13,2
1,202,2017,03,26,20,15,38,1,0,7,5,40,54,59,0,11,0
1,59,2017,03,10,13,10,33,1,0,15,0,31,62,34,0,28,7
1,69,2017,03,25,13,30,54,1,0,0,3,15,48,59,15,9,1
1,31,2017,01,29,05,14,41,1,6,21,4,39,52,40,7,32,17
1,235,2017,03,06,19,08,38,1,0,3,5,27,52,43,0,5,6
1,235,2017,03,06,05,05,39,0,0,2,0,49,71,62,0,7,5
1,235,2017,03,11,00,48,33,1,23,19,0,36,41,41,6,39,15
1,234,2017,01,30,09,25,15,1,0,1,22,54,61,40,23,2,0
1,28,2017,03,09,20,00,56,1,12,9,27,46,66,42,26,4,22
1,235,2017,01,25,02,39,29,1,0,8,17,29,71,59,15,23,11
1,177,2017,03,11,10,12,54,1,3,17,12,40,47,46,11,26,0
1,235,2017,03,09,21,16,12,1,0,29,7,49,58,44,7,26,4
1,235,2017,01,24,03,37,33,1,7,46,7,51,47,34,4,62,11
1,235,2017,03,20,23,10,17,1,36,29,5,50,61,57,4,42,0
1,214,2017,03,14,15,50,5,1,0,0,0,53,65,56,0,3,9
1,235,2017,03,24,18,09,37,1,0,35,4,37,27,26,0,31,16
1,109,2017,01,31,11,39,49,1,13,44,18,31,59,40,3,45,19
1,235,2017,03,05,04,25,8,0,0,3,9,40,66,53,6,11,28
1,235,2017,03,03,17,29,47,1,0,21,0,37,62,43,0,31,4
1,234,2017,01,25,17,58,17,1,0,0,14,53,56,45,0,15,16
1,235,2017,03,09,17,05,9,1,15,18,20,27,52,49,0,16,24
1,109,2017,03,28,16,04,45,1,0,29,4,41,49,41,10,27,24
1,235,2017,01,28,05,45,11,1,26,9,18,26,44,40,0,38,33
1,182,2017,01,28,12,11,42,1,0,0,7,25,56,66,19,17,11
1,39,2017,03,10,00,13,13,1,0,23,0,25,61,41,14,43,7
1,235,2017,03,17,18,32,38,1,0,37,3,38,47,47,0,39,4
1,235,2017,03,27,16,03,18,1,0,23,0,40,44,44,7,24,0
1,235,2017,03,12,05,12,49,1,0,0,0,48,48,68,7,0,0
1,64,2017,03,12,23,11,30,1,11,21,9,50,49,46,11,37,24
1,48,2017,03,03,16,26,4,1,0,3,0,46,59,43,0,5,0
1,235,2017,03,28,19,26,9,1,19,23,0,47,54,47,0,31,16
1,235,2017,03,21,16,34,25,1,6,58,17,46,56,35,19,40,0
1,102,2017,03,03,07,31,11,1,6,31,26,20,38,45,26,31,25
1,103,2017,03,06,08,37,40,0,6,5,25,37,54,26,32,20,7
1,174,2017,03,28,05,46,20,1,0,18,0,23,43,44,15,30,5
1,55,2017,03,03,15,33,22,1,0,26,0,35,47,41,2,44,13
1,235,2017,01,31,19,59,6,1,11,7,0,43,64,47,0,17,0
1,177,2017,03,13,00,34,38,1,1,15,0,53,68,49,0,15,3
1,235,2017,03,24,21,09,1,1,0,7,21,33,63,51,13,33,13
1,233,2017,03,27,13,42,3,1,0,29,0,49,57,49,6,37,0
1,59,2017,03,04,12,50,7,1,16,19,0,50,52,45,22,19,0
1,235,2017,03,10,03,10,25,0,0,25,24,24,57,59,12,51,19
1,141,2017,01,23,09,27,0,1,9,8,4,46,57,51,20,17,10
1,128,2017,03,14,13,10,48,1,2,33,0,41,70,44,0,48,0
1,235,2017,01,30,15,33,20,1,0,16,0,34,70,44,0,21,0
1,156,2017,03,08,12,11,58,0,5,14,23,46,51,41,5,18,31
1,235,2017,03,11,22,25,54,1,0,25,0,38,51,47,0,20,13
1,55,2017,01,24,00,12,16,1,0,11,3,44,67,41,21,9,13
1,235,2017,01,31,20,15,25,1,0,41,0,13,55,16,0,45,0
1,235,2017,03,27,22,58,32,1,30,27,0,37,69,46,23,30,0
1,235,2017,03,21,17,30,41,1,20,2,3,50,54,49,0,26,0
1,214,2017,03,10,09,16,15,1,0,38,0,34,69,49,3,45,3
1,235,2017,03,28,12,22,51,1,0,0,9,45,60,45,0,24,0
1,234,2017,03,13,21,28,4,1,0,7,6,42,37,50,0,12,8
1,214,2017,03,16,13,06,39,1,0,23,0,44,61,41,7,37,0
1,235,2017,03,10,01,15,53,1,0,6,13,36,51,23,0,19,0
1,39,2017,03,10,19,00,18,1,7,2,0,50,60,40,0,13,5
1,176,2017,03,07,10,41,41,1,0,10,10,44,65,48,18,10,0
1,235,2017,03,06,22,17,47,1,0,39,4,23,46,38,2,28,18
1,220,2017,01,25,08,53,37,1,0,18,38,42,76,49,0,35,0
1,37,2017,03,08,15,25,9,1,0,11,8,36,66,55,0,1,23
1,100,2017,03,14,20,23,51,1,5,51,1,29,49,40,2,29,17
1,235,2017,03,13,00,59,48,1,0,31,7,43,40,38,0,45,12
1,235,2017,03,22,17,05,2,1,1,7,0,48,67,50,0,11,1
1,39,2017,03,27,21,54,10,1,7,20,6,49,55,46,0,29,0
1,199,2017,03,10,13,16,13,1,0,16,0,20,58,50,26,20,33
1,201,2017,03,15,17,34,29,1,1,22,17,37,59,34,0,14,0
1,235,2017,01,31,18,48,40,1,2,17,0,44,49,39,2,21,0
1,31,2017,01,25,21,27,16,1,0,6,6,35,63,62,0,12,4
1,109,2017,03,23,14,48,26,1,0,2,13,39,55,59,0,5,26
1,235,2017,01,30,04,49,41,1,0,2,8,22,43,56,0,7,10
1,233,2017,03,15,05,01,32,1,0,36,5,21,44,38,10,41,13
1,235,2017,01,24,00,35,45,1,9,5,0,47,56,45,1,15,0
1,235,2017,01,24,15,18,39,1,0,10,9,42,74,61,14,14,0
1,109,2017,03,09,14,53,17,1,0,11,22,26,36,48,15,37,9
1,235,2017,01,23,18,41,12,1,0,26,0,58,58,51,1,37,1
1,82,2017,01,25,10,53,27,1,0,32,0,25,38,28,10,59,9
1,234,2017,01,27,14,56,14,1,0,10,2,33,60,43,0,14,2
1,75,2017,01,28,23,03,9,1,3,9,12,40,65,50,0,19,0
1,39,2017,01,29,04,26,1,1,0,35,0,49,39,50,0,45,5
1,85,2017,03,01,10,10,32,0,0,9,0,38,66,62,0,21,0
1,182,2017,01,25,20,26,23,1,18,15,10,27,49,24,33,26,41
1,28,2017,01,24,23,45,36,1,0,12,8,37,67,42,0,27,0
1,235,2017,01,31,03,44,40,1,0,39,0,40,45,53,0,52,0
1,235,2017,03,15,02,26,15,1,0,6,20,27,63,41,0,29,0
1,235,2017,03,03,16,53,49,1,10,17,4,31,61,43,18,0,0
1,103,2017,03,18,11,05,24,1,0,13,14,37,61,44,0,19,0
1,13,2017,03,04,06,56,17,0,0,11,0,42,37,42,7,25,18
1,55,2017,03,28,21,09,12,1,3,8,0,40,64,34,3,13,0
1,13,2017,01,27,06,52,30,1,9,32,14,43,52,51,9,18,0
1,82,2017,03,19,08,52,50,1,0,9,0,49,62,49,0,14,0
1,235,2017,03,21,23,03,54,1,0,19,41,32,65,40,24,25,0
1,227,2017,03,06,10,09,22,1,2,15,0,43,59,43,0,12,0
1,235,2017,01,29,20,00,9,1,0,0,0,44,60,57,0,0,0
1,103,2017,03,29,13,15,56,1,0,0,15,29,42,39,0,23,0
1,109,2017,03,04,11,07,9,1,0,11,0,34,65,50,0,19,0
1,134,2017,03,10,06,56,1,1,0,32,0,30,65,35,0,41,0
1,235,2017,03,26,23,02,31,1,0,14,14,38,52,52,0,20,0
1,235,2017,03,08,20,11,27,1,0,5,4,42,65,47,0,14,0
1,235,2017,01,25,17,47,10,1,0,18,0,30,65,42,0,18,0
1,214,2017,03,24,08,17,38,1,16,20,0,32,56,49,25,17,0
1,235,2017,01,23,19,33,1,1,0,22,0,43,62,48,0,21,3
1,13,2017,01,28,03,41,8,1,0,24,0,41,39,46,0,30,5
1,235,2017,03,27,23,18,27,1,3,0,0,46,58,43,0,10,0
1,82,2017,03,20,14,53,20,1,32,30,3,36,59,36,0,35,13
1,100,2017,03,19,08,00,29,1,3,15,41,38,32,57,0,34,8
1,234,2017,03,15,11,36,17,1,0,27,8,23,56,49,26,32,32
1,235,2017,01,25,02,31,46,1,3,17,0,30,65,47,0,19,4
1,235,2017,03,27,17,32,5,1,0,22,0,23,49,37,0,24,0
1,182,2017,03,02,11,27,14,1,0,0,10,54,62,30,0,12,0
1,235,2017,03,17,16,54,51,1,0,7,11,33,63,33,29,19,15
1,235,2017,03,02,19,18,55,0,24,27,27,72,81,81,32,36,36
1,214,2017,03,26,22,19,26,1,1,5,8,36,60,47,0,5,14
1,214,2017,01,24,11,16,30,1,5,4,10,33,75,39,15,10,3
1,82,2017,03,03,21,32,45,0,0,0,2,31,48,58,0,0,5
1,31,2017,01,27,15,12,25,1,5,44,23,25,52,48,6,29,25
1,235,2017,03,23,13,59,30,1,2,12,0,44,68,46,0,18,3
1,235,2017,01,25,23,32,32,1,0,37,0,40,42,41,0,37,5
1,235,2017,03,25,01,56,50,1,5,32,0,39,60,36,5,42,14
1,235,2017,01,25,00,25,18,1,0,19,3,36,55,46,0,31,8
1,235,2017,03,23,19,09,21,1,0,17,20,44,74,37,0,24,0
1,235,2017,03,15,14,59,47,1,19,10,38,55,50,47,8,40,28
1,13,2017,01,31,01,49,43,1,0,16,4,22,66,52,31,8,0
1,234,2017,03,27,10,24,49,1,0,11,3,39,54,46,0,15,4
1,232,2017,03,26,19,41,26,1,0,15,15,51,47,46,14,14,19
1,235,2017,01,23,19,06,48,1,24,26,3,47,52,50,18,33,2
1,14,2017,03,27,07,09,13,1,0,22,15,38,64,27,11,24,0
1,235,2017,03,07,18,55,23,1,7,19,8,66,65,67,0,23,4
1,31,2017,01,28,18,58,35,1,25,0,0,22,59,52,0,22,0
1,235,2017,01,24,20,31,15,1,0,16,0,37,56,62,0,19,0
1,182,2017,03,26,12,17,24,1,0,29,0,24,48,24,16,66,29
1,235,2017,03,22,21,45,58,1,4,30,0,34,51,48,6,33,0
1,235,2017,03,26,21,01,0,1,0,35,5,12,45,39,12,43,15
1,235,2017,03,25,03,51,50,1,0,15,4,42,63,54,12,16,10
1,235,2017,01,31,15,00,20,1,0,7,2,43,63,49,0,12,0
1,114,2017,03,14,16,36,49,1,0,16,19,21,48,16,0,25,27
1,156,2017,03,10,14,49,22,1,0,12,0,37,47,34,0,16,0
1,235,2017,01,24,01,05,1,1,0,9,0,40,60,41,0,19,0
1,174,2017,03,02,10,01,43,0,2,46,24,49,49,64,10,59,6
1,100,2017,03,06,17,58,26,0,6,8,0,50,41,9,0,26,15
1,235,2017,01,24,19,56,42,1,0,31,0,39,64,46,0,39,2
1,232,2017,03,29,18,43,41,1,17,27,22,29,31,39,14,55,1
1,100,2017,03,02,20,55,33,1,0,33,0,39,44,41,4,46,1
1,39,2017,01,27,01,39,55,1,0,5,2,35,63,41,0,12,0
1,150,2017,03,27,03,43,23,1,0,0,14,49,41,52,20,23,0
1,31,2017,03,01,14,20,25,1,0,15,2,44,62,45,0,22,0
1,235,2017,01,24,15,55,14,1,0,32,2,31,56,59,7,12,29
1,214,2017,01,27,08,06,36,1,2,0,0,57,59,43,9,4,0
1,235,2017,03,14,18,00,51,1,0,0,18,18,60,54,32,29,23
1,194,2017,01,24,14,44,42,1,9,38,2,42,50,38,0,35,0
1,241,2017,01,29,02,20,24,1,39,14,0,45,47,46,17,28,0
1,235,2017,03,08,15,51,6,1,3,18,0,38,44,46,8,34,1
1,235,2017,03,18,04,45,20,1,0,0,17,35,44,55,5,13,20
1,235,2017,03,07,03,50,3,1,0,11,27,41,45,56,5,37,0
1,235,2017,03,15,17,23,0,1,5,0,0,47,35,48,1,10,0
1,235,2017,01,25,03,45,25,1,24,23,11,52,44,41,23,24,1
1,3,2017,03,14,17,50,59,1,0,7,8,33,58,46,6,17,11
1,235,2017,03,10,21,00,53,1,0,23,0,43,66,45,0,27,12
1,235,2017,03,09,20,52,52,1,2,0,2,35,40,38,0,5,0
1,59,2017,03,05,15,51,33,1,0,17,7,39,61,68,0,22,7
1,194,2017,03,14,12,33,53,1,0,10,0,36,57,45,8,13,0
1,235,2017,01,27,13,15,16,1,0,36,8,45,67,42,12,35,0
1,235,2017,03,25,04,27,12,1,13,3,11,53,55,49,0,19,0
1,182,2017,03,09,18,57,38,0,2,0,0,42,38,52,0,0,4
1,137,2017,03,07,17,53,27,1,0,8,6,40,67,53,0,14,2
1,235,2017,03,07,15,36,40,1,0,0,6,34,52,56,4,17,3
1,14,2017,01,27,12,04,40,1,0,11,6,35,63,46,2,15,3
1,109,2017,03,26,19,00,1,1,0,0,2,50,60,55,0,0,6
1,235,2017,03,13,13,50,1,1,0,15,0,43,62,45,9,22,0
1,234,2017,03,19,14,18,10,1,0,1,22,39,63,45,27,4,0
1,241,2017,01,24,04,12,40,1,0,24,26,49,25,29,4,56,13
1,82,2017,03,06,18,42,14,0,2,23,0,48,35,39,5,30,4
1,235,2017,03,29,01,07,53,1,0,29,0,36,64,46,2,43,14
1,74,2017,03,26,17,05,20,1,5,6,20,45,52,55,9,28,0
